identity_id,image_path,l2_dist,asr,ssim,psnr
Richard_Virenque,results/phase2/robustness/downsample_facenet/Richard_Virenque_0003_facenet_cloaked.png,1.778586,1,0.944629,37.3010
Richard_Virenque,results/phase2/robustness/downsample_facenet/Richard_Virenque_0008_facenet_cloaked.png,1.317337,1,0.955281,35.2188
Robert_Duvall,results/phase2/robustness/downsample_facenet/Robert_Duvall_0003_facenet_cloaked.png,1.586312,1,0.936898,37.4487
Robert_Mueller,results/phase2/robustness/downsample_facenet/Robert_Mueller_0002_facenet_cloaked.png,1.634087,1,0.949933,36.7129
Roger_Moore,results/phase2/robustness/downsample_facenet/Roger_Moore_0001_facenet_cloaked.png,1.603111,1,0.946068,37.3959
Romano_Prodi,results/phase2/robustness/downsample_facenet/Romano_Prodi_0005_facenet_cloaked.png,1.336167,1,0.959042,37.9177
Romano_Prodi,results/phase2/robustness/downsample_facenet/Romano_Prodi_0006_facenet_cloaked.png,1.645729,1,0.934976,36.1124
Ron_Dittemore,results/phase2/robustness/downsample_facenet/Ron_Dittemore_0006_facenet_cloaked.png,1.598329,1,0.943192,36.3997
Ron_Dittemore,results/phase2/robustness/downsample_facenet/Ron_Dittemore_0008_facenet_cloaked.png,1.585944,1,0.940010,36.1912
Saddam_Hussein,results/phase2/robustness/downsample_facenet/Saddam_Hussein_0004_facenet_cloaked.png,1.200022,1,0.952613,36.9626
Sarah_Jessica_Parker,results/phase2/robustness/downsample_facenet/Sarah_Jessica_Parker_0002_facenet_cloaked.png,1.721188,1,0.940272,37.0388
Sarah_Jessica_Parker,results/phase2/robustness/downsample_facenet/Sarah_Jessica_Parker_0006_facenet_cloaked.png,1.696409,1,0.951627,36.6218
Scott_Peterson,results/phase2/robustness/downsample_facenet/Scott_Peterson_0001_facenet_cloaked.png,1.648339,1,0.942012,37.0893
Sean_OKeefe,results/phase2/robustness/downsample_facenet/Sean_OKeefe_0003_facenet_cloaked.png,1.481672,1,0.936710,35.9928
Serena_Williams,results/phase2/robustness/downsample_facenet/Serena_Williams_0039_facenet_cloaked.png,1.460909,1,0.950856,36.3794
Shimon_Peres,results/phase2/robustness/downsample_facenet/Shimon_Peres_0003_facenet_cloaked.png,1.473434,1,0.936601,36.4191
Steve_Nash,results/phase2/robustness/downsample_facenet/Steve_Nash_0002_facenet_cloaked.png,1.488261,1,0.952526,36.0551
Steve_Nash,results/phase2/robustness/downsample_facenet/Steve_Nash_0003_facenet_cloaked.png,1.544152,1,0.946215,36.6559
Steven_Spielberg,results/phase2/robustness/downsample_facenet/Steven_Spielberg_0002_facenet_cloaked.png,1.432809,1,0.940796,36.0011
Steven_Spielberg,results/phase2/robustness/downsample_facenet/Steven_Spielberg_0005_facenet_cloaked.png,1.644363,1,0.940336,36.6927
Tariq_Aziz,results/phase2/robustness/downsample_facenet/Tariq_Aziz_0003_facenet_cloaked.png,1.368943,1,0.937041,33.5818
Tim_Henman,results/phase2/robustness/downsample_facenet/Tim_Henman_0004_facenet_cloaked.png,1.764993,1,0.940473,36.9735
Tim_Henman,results/phase2/robustness/downsample_facenet/Tim_Henman_0017_facenet_cloaked.png,1.769693,1,0.955610,39.0490
Tom_Hanks,results/phase2/robustness/downsample_facenet/Tom_Hanks_0006_facenet_cloaked.png,1.797823,1,0.942974,37.5296
Tommy_Thompson,results/phase2/robustness/downsample_facenet/Tommy_Thompson_0004_facenet_cloaked.png,1.455736,1,0.942725,35.8927
Tony_Stewart,results/phase2/robustness/downsample_facenet/Tony_Stewart_0006_facenet_cloaked.png,1.703884,1,0.938209,35.5035
Vaclav_Havel,results/phase2/robustness/downsample_facenet/Vaclav_Havel_0001_facenet_cloaked.png,1.351810,1,0.934346,35.8330
Venus_Williams,results/phase2/robustness/downsample_facenet/Venus_Williams_0001_facenet_cloaked.png,1.641194,1,0.946204,37.5524
Venus_Williams,results/phase2/robustness/downsample_facenet/Venus_Williams_0005_facenet_cloaked.png,1.548382,1,0.938753,36.4721
Venus_Williams,results/phase2/robustness/downsample_facenet/Venus_Williams_0008_facenet_cloaked.png,1.440844,1,0.935349,36.5985
Vicente_Fox,results/phase2/robustness/downsample_facenet/Vicente_Fox_0004_facenet_cloaked.png,1.321607,1,0.942866,35.9641
Vicente_Fox,results/phase2/robustness/downsample_facenet/Vicente_Fox_0027_facenet_cloaked.png,1.340875,1,0.935294,35.7975
Vincent_Brooks,results/phase2/robustness/downsample_facenet/Vincent_Brooks_0007_facenet_cloaked.png,1.266645,1,0.952810,35.7111
Wen_Jiabao,results/phase2/robustness/downsample_facenet/Wen_Jiabao_0004_facenet_cloaked.png,1.737375,1,0.952421,37.8939
William_Macy,results/phase2/robustness/downsample_facenet/William_Macy_0005_facenet_cloaked.png,1.485540,1,0.942141,37.4443
Xanana_Gusmao,results/phase2/robustness/downsample_facenet/Xanana_Gusmao_0002_facenet_cloaked.png,1.578180,1,0.942047,37.4838
Yoriko_Kawaguchi,results/phase2/robustness/downsample_facenet/Yoriko_Kawaguchi_0008_facenet_cloaked.png,1.415774,1,0.949997,36.4376
